"Материал","Порядок","Трек","Модуль","Тип","Обязательно","Статус","Путь в архиве","Мои заметки"
"Курс: разработка и запуск анализатора Dota 2 с нуля","1","Обязательный путь","Ориентация","Оглавление части","Да","Не начато","README.md",""
"Как проходить курс","2","Обязательный путь","Ориентация","Глава","Да","Не начато","course/00-how-to-study.md",""
"Маршрут от полного нуля до запуска","3","Обязательный путь","Ориентация","Глава","Да","Не начато","course/03-zero-to-launch-roadmap.md",""
"Полная карта курса","4","Обязательный путь","Ориентация","Глава","Да","Не начато","course/01-course-map.md",""
"1. Продукт и границы MVP","5","Подготовка и архитектура","Blueprint","Глава","Да","Не начато","blueprint/01-product-and-mvp.md",""
"2. Источники данных и архитектура","6","Подготовка и архитектура","Blueprint","Глава","Да","Не начато","blueprint/02-data-and-architecture.md",""
"3. Технологии, база данных и API","7","Подготовка и архитектура","Blueprint","Глава","Да","Не начато","blueprint/03-stack-database-api.md",""
"4. Аналитика, качество и план разработки","8","Подготовка и архитектура","Blueprint","Глава","Да","Не начато","blueprint/04-analytics-roadmap-risks.md",""
"5. Источники документации и лицензионные проверки","9","Подготовка и архитектура","Blueprint","Глава","Да","Не начато","blueprint/05-sources-and-licenses.md",""
"6. AWS, публикация и коммерческий запуск","10","Подготовка и архитектура","Blueprint","Глава","Да","Не начато","blueprint/06-aws-commercial-launch.md",""
"Часть 1. Основы программирования","11","Обязательный путь","Часть 1","Оглавление части","Да","Не начато","course/part-01-foundations/README.md",""
"Глава 1. Что такое код","12","Обязательный путь","Часть 1","Глава","Да","Не начато","course/part-01-foundations/01-what-is-code.md",""
"Глава 2. Значения, переменные, типы и операции","13","Обязательный путь","Часть 1","Глава","Да","Не начато","course/part-01-foundations/02-variables-types-operators.md",""
"Глава 3. Условия и циклы","14","Обязательный путь","Часть 1","Глава","Да","Не начато","course/part-01-foundations/03-conditions-and-loops.md",""
"Глава 4. Функции, параметры, return и область видимости","15","Обязательный путь","Часть 1","Глава","Да","Не начато","course/part-01-foundations/04-functions-and-scope.md",""
"Глава 5. Массивы и объекты","16","Обязательный путь","Часть 1","Глава","Да","Не начато","course/part-01-foundations/05-arrays-and-objects.md",""
"Глава 6. Ошибки, проверка данных и отладка","17","Обязательный путь","Часть 1","Глава","Да","Не начато","course/part-01-foundations/06-errors-validation-debugging.md",""
"Глава 7. Лабораторная: консольный анализатор матча","18","Обязательный путь","Часть 1","Глава","Да","Не начато","course/part-01-foundations/07-match-analyzer-lab.md",""
"Эталонное решение лабораторной","19","Обязательный путь","Часть 1","Глава","Да","Не начато","course/part-01-foundations/08-reference-solution.md",""
"Часть 2. Инструменты разработчика и настоящий Node.js-проект","20","Обязательный путь","Часть 2","Оглавление части","Да","Не начато","course/part-02-tooling/README.md",""
"Глава 1. Файлы, папки, расширения и пути","21","Обязательный путь","Часть 2","Глава","Да","Не начато","course/part-02-tooling/01-files-folders-paths.md",""
"Глава 2. PowerShell и командная строка","22","Обязательный путь","Часть 2","Глава","Да","Не начато","course/part-02-tooling/02-powershell-terminal.md",""
"Глава 3. Установка редактора, Node.js и Git","23","Обязательный путь","Часть 2","Глава","Да","Не начато","course/part-02-tooling/03-install-tools.md",""
"Глава 4. Node.js, проект и package.json","24","Обязательный путь","Часть 2","Глава","Да","Не начато","course/part-02-tooling/04-node-project-package-json.md",""
"Глава 5. Модули import/export","25","Обязательный путь","Часть 2","Глава","Да","Не начато","course/part-02-tooling/05-modules.md",""
"Глава 6. npm, pnpm, зависимости и scripts","26","Обязательный путь","Часть 2","Глава","Да","Не начато","course/part-02-tooling/06-package-managers-dependencies-scripts.md",""
"Глава 7. Форматирование и статическая проверка","27","Обязательный путь","Часть 2","Глава","Да","Не начато","course/part-02-tooling/07-formatting-and-linting.md",""
"Глава 8. Отладка Node.js в терминале и VS Code","28","Обязательный путь","Часть 2","Глава","Да","Не начато","course/part-02-tooling/08-debugging-node.md",""
"Глава 9. Первые автоматические тесты","29","Обязательный путь","Часть 2","Глава","Да","Не начато","course/part-02-tooling/09-node-tests.md",""
"Глава 10. Лабораторная: многофайловый CLI-анализатор","30","Обязательный путь","Часть 2","Глава","Да","Не начато","course/part-02-tooling/10-cli-project-lab.md",""
"Глава 11. Разбор эталонного проекта","31","Обязательный путь","Часть 2","Глава","Да","Не начато","course/part-02-tooling/11-reference-project.md",""
"Dota Match CLI","32","Обязательный путь","Часть 2","Оглавление части","Да","Не начато","course/part-02-tooling/examples/dota-match-cli/README.md",""
"Часть 3. Углублённый JavaScript и асинхронность","33","Обязательный путь","Часть 3","Оглавление части","Да","Не начато","course/part-03-advanced-javascript/README.md",""
"Глава 1. Функция как значение, callback и higher-order function","34","Обязательный путь","Часть 3","Глава","Да","Не начато","course/part-03-advanced-javascript/01-callbacks-and-higher-order-functions.md",""
"Глава 2. Преобразования массивов и immutability","35","Обязательный путь","Часть 3","Глава","Да","Не начато","course/part-03-advanced-javascript/02-array-transformations-and-immutability.md",""
"Глава 3. Map, Set и группировка статистики","36","Обязательный путь","Часть 3","Глава","Да","Не начато","course/part-03-advanced-javascript/03-map-set-and-grouping.md",""
"Глава 4. Синхронный код, call stack и event loop","37","Обязательный путь","Часть 3","Глава","Да","Не начато","course/part-03-advanced-javascript/04-event-loop.md",""
"Глава 5. Promise: состояние и цепочка","38","Обязательный путь","Часть 3","Глава","Да","Не начато","course/part-03-advanced-javascript/05-promises.md",""
"Глава 6. async/await и обработка ошибок","39","Обязательный путь","Часть 3","Глава","Да","Не начато","course/part-03-advanced-javascript/06-async-await.md",""
"7. Файлы, пути и JSON","40","Обязательный путь","Часть 3","Глава","Да","Не начато","course/part-03-advanced-javascript/07-files-paths-json.md",""
"8. Параллельные операции и ограничение конкурентности","41","Обязательный путь","Часть 3","Глава","Да","Не начато","course/part-03-advanced-javascript/08-concurrency.md",""
"9. Проектирование асинхронного pipeline","42","Обязательный путь","Часть 3","Глава","Да","Не начато","course/part-03-advanced-javascript/09-async-pipeline-design.md",""
"10. Лабораторная: анализ истории матчей","43","Обязательный путь","Часть 3","Глава","Да","Не начато","course/part-03-advanced-javascript/10-history-analyzer-lab.md",""
"11. Разбор эталонного проекта","44","Обязательный путь","Часть 3","Глава","Да","Не начато","course/part-03-advanced-javascript/11-reference-project.md",""
"Dota History CLI","45","Обязательный путь","Часть 3","Оглавление части","Да","Не начато","course/part-03-advanced-javascript/examples/dota-history-cli/README.md",""
