"Модуль","Порядок","Трек","Обязательно","Статус","Страница","Мои заметки"
"02 — Как проходить курс и маршрут обучения","2","Подготовка","Да","Не начато","02 — Как проходить курс и маршрут обучения.md",""
"03 — Архитектура, данные и коммерческий план продукта","3","Подготовка","Да","Не начато","03 — Архитектура, данные и коммерческий план продукта.md",""
"04 — Часть 1. Основы программирования","4","Основной курс","Да","Не начато","04 — Часть 1. Основы программирования.md",""
"05 — Часть 2. Инструменты разработчика и настоящий Node.js-проект","5","Основной курс","Да","Не начато","05 — Часть 2. Инструменты разработчика и настоящий Node.js-проект.md",""
"06 — Часть 3. Углублённый JavaScript и асинхронность","6","Основной курс","Да","Не начато","06 — Часть 3. Углублённый JavaScript и асинхронность.md",""
"07 — Часть 4. TypeScript и безопасные модели данных","7","Основной курс","Да","Не начато","07 — Часть 4. TypeScript и безопасные модели данных.md",""
"08 — Часть 5. Git и дисциплина разработки","8","Основной курс","Да","Не начато","08 — Часть 5. Git и дисциплина разработки.md",""
"09 — Часть 6. HTTP, JSON и внешние API","9","Основной курс","Да","Не начато","09 — Часть 6. HTTP, JSON и внешние API.md",""
"10 — Часть 7. SQL и PostgreSQL","10","Основной курс","Да","Не начато","10 — Часть 7. SQL и PostgreSQL.md",""
"11 — Часть 8. Backend на Node.js, NestJS и Fastify","11","Основной курс","Да","Не начато","11 — Часть 8. Backend на Node.js, NestJS и Fastify.md",""
"12 — Часть 9. Сбор и нормализация данных Dota 2","12","Основной курс","Да","Не начато","12 — Часть 9. Сбор и нормализация данных Dota 2.md",""
"13 — Часть 10. Аналитика меты Dota 2","13","Основной курс","Да","Не начато","13 — Часть 10. Аналитика меты Dota 2.md",""
"14 — Часть 11. Основы React и web-песочница","14","Основной курс","Да","Не начато","14 — Часть 11. Основы React и web-песочница.md",""
"15 — Часть 12. React Native и Expo","15","Основной курс","Да","Не начато","15 — Часть 12. React Native и Expo.md",""
"16 — Часть 13. Соединяем мобильное приложение с backend","16","Основной курс","Да","Не начато","16 — Часть 13. Соединяем мобильное приложение с backend.md",""
"17 — Часть 14. Пользователи, Steam, watchlist и уведомления","17","Основной курс","Да","Не начато","17 — Часть 14. Пользователи, Steam, watchlist и уведомления.md",""
"18 — Часть 15. Тестирование и безопасность","18","Основной курс","Да","Не начато","18 — Часть 15. Тестирование и безопасность.md",""
"19 — Часть 16. Docker, CI/CD и production","19","Основной курс","Да","Не начато","19 — Часть 16. Docker, CI — CD и production.md",""
"20 — Часть 17. Наблюдаемость и эксплуатация","20","Основной курс","Да","Не начато","20 — Часть 17. Наблюдаемость и эксплуатация.md",""
"21 — Часть 21. Пошаговая сборка единого MVP","21","Запуск продукта","Да","Не начато","21 — Часть 21. Пошаговая сборка единого MVP.md",""
"22 — Часть 22. Развёртывание Dota Analyzer в AWS с нуля","22","Запуск продукта","Да","Не начато","22 — Часть 22. Развёртывание Dota Analyzer в AWS с нуля.md",""
"23 — Часть 23. Выпуск React Native приложения в Google Play и App Store","23","Запуск продукта","Да","Не начато","23 — Часть 23. Выпуск React Native приложения в Google Play и App Store.md",""
"24 — Часть 24. Монетизация, подписка и проверка бизнеса","24","Запуск продукта","Да","Не начато","24 — Часть 24. Монетизация, подписка и проверка бизнеса.md",""
"25 — Техническая аттестация","25","Аттестация","Да","Не начато","25 — Техническая аттестация.md",""
"26 — Коммерческий выпускной проект","26","Аттестация","Да","Не начато","26 — Коммерческий выпускной проект.md",""
"90 — НЕОБЯЗАТЕЛЬНО — Часть 18. Продвинутый replay pipeline на Java и Clarity","90","Необязательное углубление","Нет","Не начато","90 — НЕОБЯЗАТЕЛЬНО — Часть 18. Продвинутый replay pipeline на Java и Clarity.md",""
"91 — НЕОБЯЗАТЕЛЬНО — Часть 19. Масштабирование аналитики с ClickHouse","91","Необязательное углубление","Нет","Не начато","91 — НЕОБЯЗАТЕЛЬНО — Часть 19. Масштабирование аналитики с ClickHouse.md",""
"92 — НЕОБЯЗАТЕЛЬНО — Часть 20. Прогнозирование профессиональных матчей и ML","92","Необязательное углубление","Нет","Не начато","92 — НЕОБЯЗАТЕЛЬНО — Часть 20. Прогнозирование профессиональных матчей и ML.md",""
"99 — Отчёт о качестве и полноте курса","99","Справочник","Нет","Не начато","99 — Отчёт о качестве и полноте курса.md",""
